 ,Area,Mean,Min,Max,X,Y,%Area,Slice
1,0.000,193,193,193,4.923,166.462,0,123
2,0.000,131,131,131,183.231,170.923,0,125
3,0.000,188,188,188,337.897,176.667,0,127
4,0.000,117,117,117,492.564,179.949,0,129
