 ,Area,Mean,Min,Max,X,Y,%Area,Slice
1,0.000,137,137,137,74.462,173.538,0,73
2,0.000,184,184,184,239.026,177.077,0,75
3,0.000,188,188,188,398.615,182.000,0,77
4,0.000,154,154,154,523.333,187.744,0,79
