 ,Area,Mean,Min,Max,X,Y,%Area,Slice
1,0.000,149,149,149,4.923,266.462,0,77
2,0.000,181,181,181,134.000,270.205,0,79
3,0.000,176,176,176,266.513,274.308,0,81
4,0.000,169,169,169,401.487,278.410,0,83
5,0.000,150,150,150,543.436,284.564,0,85
