 ,Area,Mean,Min,Max,X,Y,%Area,Slice
1,0.000,128,128,128,60.923,139.692,0,1
2,0.000,172,172,172,143.846,138.513,0,3
3,0.000,175,175,175,231.231,136.462,0,5
4,0.000,176,176,176,320.256,136.051,0,7
5,0.000,165,165,165,406.410,134.821,0,9
6,0.000,161,161,161,492.154,136.462,0,11
