 ,Area,Mean,Min,Max,X,Y,%Area,Slice
1,0.000,124,124,124,8.000,172.615,0,41
2,0.000,146,146,146,89.692,172.154,0,43
3,0.000,160,160,160,171.744,170.103,0,45
4,0.000,133,133,133,257.897,168.051,0,47
5,0.000,157,157,157,345.692,167.231,0,49
6,0.000,176,176,176,432.667,166.821,0,51
