 ,Area,Mean,Min,Max,X,Y,%Area,Slice
1,0.000,132,132,132,44.923,267.077,0,141
2,0.000,168,168,168,192.667,270.615,0,143
3,0.000,134,134,134,339.949,275.128,0,145
4,0.000,140,140,140,486.410,278.000,0,147
