 ,Area,Mean,Min,Max,X,Y,%Area,Slice
1,0.000,139,139,139,98.462,146.462,0,25
2,0.000,148,148,148,261.179,149.590,0,27
3,0.000,160,160,160,420.769,154.103,0,29
