sample,E_MPa,intercept_c_MPa,R2,yield_MPa,yield_strain,fit_strain_end
iron-10-4,84185.6553522582,0,0.938899330943831,119.541741020334,0.00341997755460993,0.0005559
iron-10-5,81762.8155074026,0,0.990120577745749,185.999223464082,0.00427486324082421,0.00164788
iron-10-9,116366.634908528,0,0.99007265368818,146.102172188786,0.00325553318873259,0.00034122
iron-50-6,86701.2030064456,0,0.990008033092268,155.655714870795,0.00379531205419632,0.00063676
iron-50-7,74070.5493598027,0,0.990723168395051,154.24958067592,0.00408246843055858,0.00125354
iron-50-8,81873.1232202219,0,0.990885552833565,149.211167379643,0.00382246824734286,0.00076626
